_id,時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,項目,数値,単位
89,1991000000,1991年,平成3年,26000,京都府,花き,1681,百万円
90,1991000000,1991年,平成3年,26000,京都府,工芸農作物,3617,百万円
91,1991000000,1991年,平成3年,26000,京都府,種苗･苗木その他,1557,百万円
92,1991000000,1991年,平成3年,26000,京都府,養蚕,90,百万円
93,1991000000,1991年,平成3年,26000,京都府,畜産計,15138,百万円
94,1991000000,1991年,平成3年,26000,京都府,肉用牛,1612,百万円
95,1991000000,1991年,平成3年,26000,京都府,乳用牛,4704,百万円
96,1991000000,1991年,平成3年,26000,京都府,豚,2078,百万円
97,1991000000,1991年,平成3年,26000,京都府,鶏,6418,百万円
98,1991000000,1991年,平成3年,26000,京都府,その他畜産物,326,百万円
99,1991000000,1991年,平成3年,26000,京都府,加工農産物,2527,百万円
100,1991000000,1991年,平成3年,26000,京都府,生産農業所得,35763,百万円
101,1992000000,1992年,平成4年,26000,京都府,農業粗生産額,84076,百万円
102,1992000000,1992年,平成4年,26000,京都府,耕種計,67456,百万円
103,1992000000,1992年,平成4年,26000,京都府,米,30925,百万円
104,1992000000,1992年,平成4年,26000,京都府,麦類,174,百万円
105,1992000000,1992年,平成4年,26000,京都府,雑穀・豆類,1713,百万円
106,1992000000,1992年,平成4年,26000,京都府,いも類,970,百万円
107,1992000000,1992年,平成4年,26000,京都府,野菜,24396,百万円
108,1992000000,1992年,平成4年,26000,京都府,果実,1807,百万円
109,1992000000,1992年,平成4年,26000,京都府,花き,1642,百万円
110,1992000000,1992年,平成4年,26000,京都府,工芸農作物,4085,百万円
111,1992000000,1992年,平成4年,26000,京都府,種苗･苗木その他,1744,百万円
112,1992000000,1992年,平成4年,26000,京都府,養蚕,75,百万円
113,1992000000,1992年,平成4年,26000,京都府,畜産計,13649,百万円
114,1992000000,1992年,平成4年,26000,京都府,肉用牛,1562,百万円
115,1992000000,1992年,平成4年,26000,京都府,乳用牛,4601,百万円
116,1992000000,1992年,平成4年,26000,京都府,豚,1850,百万円
117,1992000000,1992年,平成4年,26000,京都府,鶏,5358,百万円
118,1992000000,1992年,平成4年,26000,京都府,その他畜産物,278,百万円
119,1992000000,1992年,平成4年,26000,京都府,加工農産物,2896,百万円
120,1992000000,1992年,平成4年,26000,京都府,生産農業所得,37246,百万円
121,1993000000,1993年,平成5年,26000,京都府,農業粗生産額,85814,百万円
122,1993000000,1993年,平成5年,26000,京都府,耕種計,70586,百万円
123,1993000000,1993年,平成5年,26000,京都府,米,30967,百万円
124,1993000000,1993年,平成5年,26000,京都府,麦類,119,百万円
125,1993000000,1993年,平成5年,26000,京都府,雑穀・豆類,1648,百万円
126,1993000000,1993年,平成5年,26000,京都府,いも類,1147,百万円
127,1993000000,1993年,平成5年,26000,京都府,野菜,27755,百万円
128,1993000000,1993年,平成5年,26000,京都府,果実,1555,百万円
129,1993000000,1993年,平成5年,26000,京都府,花き,1606,百万円
