時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,性別,項目,数値,単位
2000000202,2000年,平成12年,26210,八幡市,全体,仕事に従事しなかった,349 ,人
2000000202,2000年,平成12年,26210,八幡市,全体,農業就業人口,1001 ,人
2000000202,2000年,平成12年,26211,京田辺市,全体,農家人口,3848 ,人
2000000202,2000年,平成12年,26211,京田辺市,男,農家人口,1857 ,人
2000000202,2000年,平成12年,26211,京田辺市,女,農家人口,1991 ,人
2000000202,2000年,平成12年,26211,京田辺市,全体,16歳以上総数,3317 ,人
2000000202,2000年,平成12年,26211,京田辺市,全体,自営農業だけに従事,1287 ,人
2000000202,2000年,平成12年,26211,京田辺市,全体,自営農業を主にその他の仕事に従事,70 ,人
2000000202,2000年,平成12年,26211,京田辺市,全体,その他の仕事を主に自営農業に従事,1030 ,人
2000000202,2000年,平成12年,26211,京田辺市,全体,その他の仕事だけに従事,299 ,人
2000000202,2000年,平成12年,26211,京田辺市,全体,仕事に従事しなかった,631 ,人
2000000202,2000年,平成12年,26211,京田辺市,全体,農業就業人口,1357 ,人
2000000202,2000年,平成12年,26303,乙訓郡大山崎町,全体,農家人口,214 ,人
2000000202,2000年,平成12年,26303,乙訓郡大山崎町,男,農家人口,100 ,人
2000000202,2000年,平成12年,26303,乙訓郡大山崎町,女,農家人口,114 ,人
2000000202,2000年,平成12年,26303,乙訓郡大山崎町,全体,16歳以上総数,190 ,人
2000000202,2000年,平成12年,26303,乙訓郡大山崎町,全体,自営農業だけに従事,67 ,人
2000000202,2000年,平成12年,26303,乙訓郡大山崎町,全体,自営農業を主にその他の仕事に従事,14 ,人
2000000202,2000年,平成12年,26303,乙訓郡大山崎町,全体,その他の仕事を主に自営農業に従事,55 ,人
2000000202,2000年,平成12年,26303,乙訓郡大山崎町,全体,その他の仕事だけに従事,12 ,人
2000000202,2000年,平成12年,26303,乙訓郡大山崎町,全体,仕事に従事しなかった,42 ,人
2000000202,2000年,平成12年,26303,乙訓郡大山崎町,全体,農業就業人口,81 ,人
2000000202,2000年,平成12年,26322,久世郡久御山町,全体,農家人口,2197 ,人
2000000202,2000年,平成12年,26322,久世郡久御山町,男,農家人口,1051 ,人
2000000202,2000年,平成12年,26322,久世郡久御山町,女,農家人口,1146 ,人
2000000202,2000年,平成12年,26322,久世郡久御山町,全体,16歳以上総数,1897 ,人
2000000202,2000年,平成12年,26322,久世郡久御山町,全体,自営農業だけに従事,891 ,人
2000000202,2000年,平成12年,26322,久世郡久御山町,全体,自営農業を主にその他の仕事に従事,70 ,人
2000000202,2000年,平成12年,26322,久世郡久御山町,全体,その他の仕事を主に自営農業に従事,477 ,人
2000000202,2000年,平成12年,26322,久世郡久御山町,全体,その他の仕事だけに従事,151 ,人
2000000202,2000年,平成12年,26322,久世郡久御山町,全体,仕事に従事しなかった,308 ,人
2000000202,2000年,平成12年,26322,久世郡久御山町,全体,農業就業人口,961 ,人
2000000202,2000年,平成12年,26343,綴喜郡井手町,全体,農家人口,710 ,人
2000000202,2000年,平成12年,26343,綴喜郡井手町,男,農家人口,343 ,人
2000000202,2000年,平成12年,26343,綴喜郡井手町,女,農家人口,367 ,人
2000000202,2000年,平成12年,26343,綴喜郡井手町,全体,16歳以上総数,623 ,人
2000000202,2000年,平成12年,26343,綴喜郡井手町,全体,自営農業だけに従事,240 ,人
2000000202,2000年,平成12年,26343,綴喜郡井手町,全体,自営農業を主にその他の仕事に従事,16 ,人
2000000202,2000年,平成12年,26343,綴喜郡井手町,全体,その他の仕事を主に自営農業に従事,179 ,人
2000000202,2000年,平成12年,26343,綴喜郡井手町,全体,その他の仕事だけに従事,67 ,人
2000000202,2000年,平成12年,26343,綴喜郡井手町,全体,仕事に従事しなかった,121 ,人
2000000202,2000年,平成12年,26343,綴喜郡井手町,全体,農業就業人口,256 ,人
2000000202,2000年,平成12年,26344,綴喜郡宇治田原町,全体,農家人口,1717 ,人
2000000202,2000年,平成12年,26344,綴喜郡宇治田原町,男,農家人口,839 ,人
2000000202,2000年,平成12年,26344,綴喜郡宇治田原町,女,農家人口,878 ,人
2000000202,2000年,平成12年,26344,綴喜郡宇治田原町,全体,16歳以上総数,1490 ,人
2000000202,2000年,平成12年,26344,綴喜郡宇治田原町,全体,自営農業だけに従事,481 ,人
2000000202,2000年,平成12年,26344,綴喜郡宇治田原町,全体,自営農業を主にその他の仕事に従事,83 ,人
2000000202,2000年,平成12年,26344,綴喜郡宇治田原町,全体,その他の仕事を主に自営農業に従事,462 ,人
2000000202,2000年,平成12年,26344,綴喜郡宇治田原町,全体,その他の仕事だけに従事,167 ,人
2000000202,2000年,平成12年,26344,綴喜郡宇治田原町,全体,仕事に従事しなかった,297 ,人
2000000202,2000年,平成12年,26344,綴喜郡宇治田原町,全体,農業就業人口,564 ,人
2000000202,2000年,平成12年,26361,相楽郡山城町,全体,農家人口,1416 ,人
2000000202,2000年,平成12年,26361,相楽郡山城町,男,農家人口,696 ,人
2000000202,2000年,平成12年,26361,相楽郡山城町,女,農家人口,720 ,人
2000000202,2000年,平成12年,26361,相楽郡山城町,全体,16歳以上総数,1266 ,人
2000000202,2000年,平成12年,26361,相楽郡山城町,全体,自営農業だけに従事,499 ,人
2000000202,2000年,平成12年,26361,相楽郡山城町,全体,自営農業を主にその他の仕事に従事,31 ,人
2000000202,2000年,平成12年,26361,相楽郡山城町,全体,その他の仕事を主に自営農業に従事,367 ,人
2000000202,2000年,平成12年,26361,相楽郡山城町,全体,その他の仕事だけに従事,136 ,人
2000000202,2000年,平成12年,26361,相楽郡山城町,全体,仕事に従事しなかった,233 ,人
2000000202,2000年,平成12年,26361,相楽郡山城町,全体,農業就業人口,530 ,人
2000000202,2000年,平成12年,26362,相楽郡木津町,全体,農家人口,2139 ,人
2000000202,2000年,平成12年,26362,相楽郡木津町,男,農家人口,1047 ,人
2000000202,2000年,平成12年,26362,相楽郡木津町,女,農家人口,1092 ,人
2000000202,2000年,平成12年,26362,相楽郡木津町,全体,16歳以上総数,1873 ,人
2000000202,2000年,平成12年,26362,相楽郡木津町,全体,自営農業だけに従事,755 ,人
2000000202,2000年,平成12年,26362,相楽郡木津町,全体,自営農業を主にその他の仕事に従事,48 ,人
2000000202,2000年,平成12年,26362,相楽郡木津町,全体,その他の仕事を主に自営農業に従事,613 ,人
2000000202,2000年,平成12年,26362,相楽郡木津町,全体,その他の仕事だけに従事,152 ,人
2000000202,2000年,平成12年,26362,相楽郡木津町,全体,仕事に従事しなかった,305 ,人
2000000202,2000年,平成12年,26362,相楽郡木津町,全体,農業就業人口,803 ,人
2000000202,2000年,平成12年,26363,相楽郡加茂町,全体,農家人口,2133 ,人
2000000202,2000年,平成12年,26363,相楽郡加茂町,男,農家人口,1063 ,人
2000000202,2000年,平成12年,26363,相楽郡加茂町,女,農家人口,1070 ,人
2000000202,2000年,平成12年,26363,相楽郡加茂町,全体,16歳以上総数,1848 ,人
2000000202,2000年,平成12年,26363,相楽郡加茂町,全体,自営農業だけに従事,740 ,人
2000000202,2000年,平成12年,26363,相楽郡加茂町,全体,自営農業を主にその他の仕事に従事,88 ,人
2000000202,2000年,平成12年,26363,相楽郡加茂町,全体,その他の仕事を主に自営農業に従事,572 ,人
2000000202,2000年,平成12年,26363,相楽郡加茂町,全体,その他の仕事だけに従事,159 ,人
2000000202,2000年,平成12年,26363,相楽郡加茂町,全体,仕事に従事しなかった,289 ,人
2000000202,2000年,平成12年,26363,相楽郡加茂町,全体,農業就業人口,828 ,人
2000000202,2000年,平成12年,26364,相楽郡笠置町,全体,農家人口,153 ,人
2000000202,2000年,平成12年,26364,相楽郡笠置町,男,農家人口,73 ,人
2000000202,2000年,平成12年,26364,相楽郡笠置町,女,農家人口,80 ,人
2000000202,2000年,平成12年,26364,相楽郡笠置町,全体,16歳以上総数,138 ,人
2000000202,2000年,平成12年,26364,相楽郡笠置町,全体,自営農業だけに従事,51 ,人
2000000202,2000年,平成12年,26364,相楽郡笠置町,全体,自営農業を主にその他の仕事に従事,13 ,人
2000000202,2000年,平成12年,26364,相楽郡笠置町,全体,その他の仕事を主に自営農業に従事,48 ,人
2000000202,2000年,平成12年,26364,相楽郡笠置町,全体,その他の仕事だけに従事,10 ,人
2000000202,2000年,平成12年,26364,相楽郡笠置町,全体,仕事に従事しなかった,16 ,人
2000000202,2000年,平成12年,26364,相楽郡笠置町,全体,農業就業人口,64 ,人
2000000202,2000年,平成12年,26365,相楽郡和束町,全体,農家人口,1838 ,人
2000000202,2000年,平成12年,26365,相楽郡和束町,男,農家人口,901 ,人
2000000202,2000年,平成12年,26365,相楽郡和束町,女,農家人口,937 ,人
2000000202,2000年,平成12年,26365,相楽郡和束町,全体,16歳以上総数,1610 ,人
2000000202,2000年,平成12年,26365,相楽郡和束町,全体,自営農業だけに従事,715 ,人
2000000202,2000年,平成12年,26365,相楽郡和束町,全体,自営農業を主にその他の仕事に従事,162 ,人
2000000202,2000年,平成12年,26365,相楽郡和束町,全体,その他の仕事を主に自営農業に従事,363 ,人
2000000202,2000年,平成12年,26365,相楽郡和束町,全体,その他の仕事だけに従事,109 ,人
2000000202,2000年,平成12年,26365,相楽郡和束町,全体,仕事に従事しなかった,261 ,人
2000000202,2000年,平成12年,26365,相楽郡和束町,全体,農業就業人口,877 ,人
2000000202,2000年,平成12年,26366,相楽郡精華町,全体,農家人口,2214 ,人
2000000202,2000年,平成12年,26366,相楽郡精華町,男,農家人口,1074 ,人
2000000202,2000年,平成12年,26366,相楽郡精華町,女,農家人口,1140 ,人
2000000202,2000年,平成12年,26366,相楽郡精華町,全体,16歳以上総数,1960 ,人
2000000202,2000年,平成12年,26366,相楽郡精華町,全体,自営農業だけに従事,772 ,人
2000000202,2000年,平成12年,26366,相楽郡精華町,全体,自営農業を主にその他の仕事に従事,50 ,人
2000000202,2000年,平成12年,26366,相楽郡精華町,全体,その他の仕事を主に自営農業に従事,663 ,人
2000000202,2000年,平成12年,26366,相楽郡精華町,全体,その他の仕事だけに従事,146 ,人
2000000202,2000年,平成12年,26366,相楽郡精華町,全体,仕事に従事しなかった,329 ,人
2000000202,2000年,平成12年,26366,相楽郡精華町,全体,農業就業人口,822 ,人
2000000202,2000年,平成12年,26367,相楽郡南山城村,全体,農家人口,1204 ,人
2000000202,2000年,平成12年,26367,相楽郡南山城村,男,農家人口,582 ,人
2000000202,2000年,平成12年,26367,相楽郡南山城村,女,農家人口,622 ,人
2000000202,2000年,平成12年,26367,相楽郡南山城村,全体,16歳以上総数,1045 ,人
2000000202,2000年,平成12年,26367,相楽郡南山城村,全体,自営農業だけに従事,492 ,人
2000000202,2000年,平成12年,26367,相楽郡南山城村,全体,自営農業を主にその他の仕事に従事,70 ,人
2000000202,2000年,平成12年,26367,相楽郡南山城村,全体,その他の仕事を主に自営農業に従事,263 ,人
2000000202,2000年,平成12年,26367,相楽郡南山城村,全体,その他の仕事だけに従事,73 ,人
2000000202,2000年,平成12年,26367,相楽郡南山城村,全体,仕事に従事しなかった,147 ,人
2000000202,2000年,平成12年,26367,相楽郡南山城村,全体,農業就業人口,562 ,人
2000000202,2000年,平成12年,26381,北桑田郡京北町,全体,農家人口,2251 ,人
2000000202,2000年,平成12年,26381,北桑田郡京北町,男,農家人口,1114 ,人
2000000202,2000年,平成12年,26381,北桑田郡京北町,女,農家人口,1137 ,人
2000000202,2000年,平成12年,26381,北桑田郡京北町,全体,16歳以上総数,1941 ,人
2000000202,2000年,平成12年,26381,北桑田郡京北町,全体,自営農業だけに従事,640 ,人
2000000202,2000年,平成12年,26381,北桑田郡京北町,全体,自営農業を主にその他の仕事に従事,66 ,人
2000000202,2000年,平成12年,26381,北桑田郡京北町,全体,その他の仕事を主に自営農業に従事,822 ,人
2000000202,2000年,平成12年,26381,北桑田郡京北町,全体,その他の仕事だけに従事,144 ,人
2000000202,2000年,平成12年,26381,北桑田郡京北町,全体,仕事に従事しなかった,269 ,人
2000000202,2000年,平成12年,26381,北桑田郡京北町,全体,農業就業人口,706 ,人
2000000202,2000年,平成12年,26382,北桑田郡美山町,全体,農家人口,2356 ,人
2000000202,2000年,平成12年,26382,北桑田郡美山町,男,農家人口,1118 ,人
2000000202,2000年,平成12年,26382,北桑田郡美山町,女,農家人口,1238 ,人
2000000202,2000年,平成12年,26382,北桑田郡美山町,全体,16歳以上総数,2036 ,人
2000000202,2000年,平成12年,26382,北桑田郡美山町,全体,自営農業だけに従事,678 ,人
2000000202,2000年,平成12年,26382,北桑田郡美山町,全体,自営農業を主にその他の仕事に従事,97 ,人
2000000202,2000年,平成12年,26382,北桑田郡美山町,全体,その他の仕事を主に自営農業に従事,896 ,人
2000000202,2000年,平成12年,26382,北桑田郡美山町,全体,その他の仕事だけに従事,94 ,人
2000000202,2000年,平成12年,26382,北桑田郡美山町,全体,仕事に従事しなかった,271 ,人
2000000202,2000年,平成12年,26382,北桑田郡美山町,全体,農業就業人口,775 ,人
2000000202,2000年,平成12年,26401,船井郡園部町,全体,農家人口,3994 ,人
2000000202,2000年,平成12年,26401,船井郡園部町,男,農家人口,1921 ,人
2000000202,2000年,平成12年,26401,船井郡園部町,女,農家人口,2073 ,人
2000000202,2000年,平成12年,26401,船井郡園部町,全体,16歳以上総数,3454 ,人
2000000202,2000年,平成12年,26401,船井郡園部町,全体,自営農業だけに従事,1235 ,人
2000000202,2000年,平成12年,26401,船井郡園部町,全体,自営農業を主にその他の仕事に従事,107 ,人
2000000202,2000年,平成12年,26401,船井郡園部町,全体,その他の仕事を主に自営農業に従事,1370 ,人
2000000202,2000年,平成12年,26401,船井郡園部町,全体,その他の仕事だけに従事,256 ,人
2000000202,2000年,平成12年,26401,船井郡園部町,全体,仕事に従事しなかった,486 ,人
2000000202,2000年,平成12年,26401,船井郡園部町,全体,農業就業人口,1342 ,人
2000000202,2000年,平成12年,26402,船井郡八木町,全体,農家人口,3693 ,人
2000000202,2000年,平成12年,26402,船井郡八木町,男,農家人口,1757 ,人
2000000202,2000年,平成12年,26402,船井郡八木町,女,農家人口,1936 ,人
2000000202,2000年,平成12年,26402,船井郡八木町,全体,16歳以上総数,3205 ,人
2000000202,2000年,平成12年,26402,船井郡八木町,全体,自営農業だけに従事,1167 ,人
2000000202,2000年,平成12年,26402,船井郡八木町,全体,自営農業を主にその他の仕事に従事,99 ,人
2000000202,2000年,平成12年,26402,船井郡八木町,全体,その他の仕事を主に自営農業に従事,1280 ,人
2000000202,2000年,平成12年,26402,船井郡八木町,全体,その他の仕事だけに従事,192 ,人
2000000202,2000年,平成12年,26402,船井郡八木町,全体,仕事に従事しなかった,467 ,人
2000000202,2000年,平成12年,26402,船井郡八木町,全体,農業就業人口,1266 ,人
2000000202,2000年,平成12年,26403,船井郡丹波町,全体,農家人口,2755 ,人
2000000202,2000年,平成12年,26403,船井郡丹波町,男,農家人口,1334 ,人
2000000202,2000年,平成12年,26403,船井郡丹波町,女,農家人口,1421 ,人
2000000202,2000年,平成12年,26403,船井郡丹波町,全体,16歳以上総数,2374 ,人
2000000202,2000年,平成12年,26403,船井郡丹波町,全体,自営農業だけに従事,807 ,人
2000000202,2000年,平成12年,26403,船井郡丹波町,全体,自営農業を主にその他の仕事に従事,119 ,人
2000000202,2000年,平成12年,26403,船井郡丹波町,全体,その他の仕事を主に自営農業に従事,839 ,人
2000000202,2000年,平成12年,26403,船井郡丹波町,全体,その他の仕事だけに従事,255 ,人
2000000202,2000年,平成12年,26403,船井郡丹波町,全体,仕事に従事しなかった,354 ,人
2000000202,2000年,平成12年,26403,船井郡丹波町,全体,農業就業人口,926 ,人
2000000202,2000年,平成12年,26404,船井郡日吉町,全体,農家人口,1949 ,人
2000000202,2000年,平成12年,26404,船井郡日吉町,男,農家人口,952 ,人
2000000202,2000年,平成12年,26404,船井郡日吉町,女,農家人口,997 ,人
2000000202,2000年,平成12年,26404,船井郡日吉町,全体,16歳以上総数,1702 ,人
2000000202,2000年,平成12年,26404,船井郡日吉町,全体,自営農業だけに従事,589 ,人
2000000202,2000年,平成12年,26404,船井郡日吉町,全体,自営農業を主にその他の仕事に従事,60 ,人
2000000202,2000年,平成12年,26404,船井郡日吉町,全体,その他の仕事を主に自営農業に従事,640 ,人
2000000202,2000年,平成12年,26404,船井郡日吉町,全体,その他の仕事だけに従事,152 ,人
2000000202,2000年,平成12年,26404,船井郡日吉町,全体,仕事に従事しなかった,261 ,人
2000000202,2000年,平成12年,26404,船井郡日吉町,全体,農業就業人口,649 ,人
2000000202,2000年,平成12年,26405,船井郡瑞穂町,全体,農家人口,2529 ,人
2000000202,2000年,平成12年,26405,船井郡瑞穂町,男,農家人口,1219 ,人
2000000202,2000年,平成12年,26405,船井郡瑞穂町,女,農家人口,1310 ,人
2000000202,2000年,平成12年,26405,船井郡瑞穂町,全体,16歳以上総数,2199 ,人
2000000202,2000年,平成12年,26405,船井郡瑞穂町,全体,自営農業だけに従事,677 ,人
2000000202,2000年,平成12年,26405,船井郡瑞穂町,全体,自営農業を主にその他の仕事に従事,76 ,人
2000000202,2000年,平成12年,26405,船井郡瑞穂町,全体,その他の仕事を主に自営農業に従事,828 ,人
2000000202,2000年,平成12年,26405,船井郡瑞穂町,全体,その他の仕事だけに従事,270 ,人
2000000202,2000年,平成12年,26405,船井郡瑞穂町,全体,仕事に従事しなかった,348 ,人
2000000202,2000年,平成12年,26405,船井郡瑞穂町,全体,農業就業人口,753 ,人
2000000202,2000年,平成12年,26406,船井郡和知町,全体,農家人口,1539 ,人
2000000202,2000年,平成12年,26406,船井郡和知町,男,農家人口,731 ,人
2000000202,2000年,平成12年,26406,船井郡和知町,女,農家人口,808 ,人
2000000202,2000年,平成12年,26406,船井郡和知町,全体,16歳以上総数,1371 ,人
2000000202,2000年,平成12年,26406,船井郡和知町,全体,自営農業だけに従事,505 ,人
2000000202,2000年,平成12年,26406,船井郡和知町,全体,自営農業を主にその他の仕事に従事,41 ,人
2000000202,2000年,平成12年,26406,船井郡和知町,全体,その他の仕事を主に自営農業に従事,504 ,人
2000000202,2000年,平成12年,26406,船井郡和知町,全体,その他の仕事だけに従事,124 ,人
2000000202,2000年,平成12年,26406,船井郡和知町,全体,仕事に従事しなかった,197 ,人
2000000202,2000年,平成12年,26406,船井郡和知町,全体,農業就業人口,546 ,人
2000000202,2000年,平成12年,26421,天田郡三和町,全体,農家人口,1664 ,人
2000000202,2000年,平成12年,26421,天田郡三和町,男,農家人口,820 ,人
2000000202,2000年,平成12年,26421,天田郡三和町,女,農家人口,844 ,人
2000000202,2000年,平成12年,26421,天田郡三和町,全体,16歳以上総数,1448 ,人
2000000202,2000年,平成12年,26421,天田郡三和町,全体,自営農業だけに従事,533 ,人
2000000202,2000年,平成12年,26421,天田郡三和町,全体,自営農業を主にその他の仕事に従事,97 ,人
2000000202,2000年,平成12年,26421,天田郡三和町,全体,その他の仕事を主に自営農業に従事,508 ,人
2000000202,2000年,平成12年,26421,天田郡三和町,全体,その他の仕事だけに従事,122 ,人
2000000202,2000年,平成12年,26421,天田郡三和町,全体,仕事に従事しなかった,188 ,人
2000000202,2000年,平成12年,26421,天田郡三和町,全体,農業就業人口,630 ,人
2000000202,2000年,平成12年,26422,天田郡夜久野町,全体,農家人口,1912 ,人
2000000202,2000年,平成12年,26422,天田郡夜久野町,男,農家人口,954 ,人
2000000202,2000年,平成12年,26422,天田郡夜久野町,女,農家人口,958 ,人
2000000202,2000年,平成12年,26422,天田郡夜久野町,全体,16歳以上総数,1698 ,人
2000000202,2000年,平成12年,26422,天田郡夜久野町,全体,自営農業だけに従事,643 ,人
2000000202,2000年,平成12年,26422,天田郡夜久野町,全体,自営農業を主にその他の仕事に従事,86 ,人
2000000202,2000年,平成12年,26422,天田郡夜久野町,全体,その他の仕事を主に自営農業に従事,598 ,人
2000000202,2000年,平成12年,26422,天田郡夜久野町,全体,その他の仕事だけに従事,139 ,人
2000000202,2000年,平成12年,26422,天田郡夜久野町,全体,仕事に従事しなかった,232 ,人
2000000202,2000年,平成12年,26422,天田郡夜久野町,全体,農業就業人口,729 ,人
2000000202,2000年,平成12年,26441,加佐郡大江町,全体,農家人口,1553 ,人
2000000202,2000年,平成12年,26441,加佐郡大江町,男,農家人口,765 ,人
2000000202,2000年,平成12年,26441,加佐郡大江町,女,農家人口,788 ,人
2000000202,2000年,平成12年,26441,加佐郡大江町,全体,16歳以上総数,1379 ,人
2000000202,2000年,平成12年,26441,加佐郡大江町,全体,自営農業だけに従事,538 ,人
2000000202,2000年,平成12年,26441,加佐郡大江町,全体,自営農業を主にその他の仕事に従事,59 ,人
2000000202,2000年,平成12年,26441,加佐郡大江町,全体,その他の仕事を主に自営農業に従事,457 ,人
2000000202,2000年,平成12年,26441,加佐郡大江町,全体,その他の仕事だけに従事,140 ,人
2000000202,2000年,平成12年,26441,加佐郡大江町,全体,仕事に従事しなかった,185 ,人
2000000202,2000年,平成12年,26441,加佐郡大江町,全体,農業就業人口,597 ,人
2000000202,2000年,平成12年,26461,与謝郡加悦町,全体,農家人口,1390 ,人
2000000202,2000年,平成12年,26461,与謝郡加悦町,男,農家人口,702 ,人
2000000202,2000年,平成12年,26461,与謝郡加悦町,女,農家人口,688 ,人
2000000202,2000年,平成12年,26461,与謝郡加悦町,全体,16歳以上総数,1185 ,人
2000000202,2000年,平成12年,26461,与謝郡加悦町,全体,自営農業だけに従事,288 ,人
2000000202,2000年,平成12年,26461,与謝郡加悦町,全体,自営農業を主にその他の仕事に従事,33 ,人
2000000202,2000年,平成12年,26461,与謝郡加悦町,全体,その他の仕事を主に自営農業に従事,469 ,人
2000000202,2000年,平成12年,26461,与謝郡加悦町,全体,その他の仕事だけに従事,208 ,人
2000000202,2000年,平成12年,26461,与謝郡加悦町,全体,仕事に従事しなかった,187 ,人
2000000202,2000年,平成12年,26461,与謝郡加悦町,全体,農業就業人口,321 ,人
2000000202,2000年,平成12年,26462,与謝郡岩滝町,全体,農家人口,226 ,人
2000000202,2000年,平成12年,26462,与謝郡岩滝町,男,農家人口,117 ,人
2000000202,2000年,平成12年,26462,与謝郡岩滝町,女,農家人口,109 ,人
2000000202,2000年,平成12年,26462,与謝郡岩滝町,全体,16歳以上総数,201 ,人
2000000202,2000年,平成12年,26462,与謝郡岩滝町,全体,自営農業だけに従事,58 ,人
2000000202,2000年,平成12年,26462,与謝郡岩滝町,全体,自営農業を主にその他の仕事に従事,5 ,人
2000000202,2000年,平成12年,26462,与謝郡岩滝町,全体,その他の仕事を主に自営農業に従事,72 ,人
2000000202,2000年,平成12年,26462,与謝郡岩滝町,全体,その他の仕事だけに従事,36 ,人
2000000202,2000年,平成12年,26462,与謝郡岩滝町,全体,仕事に従事しなかった,30 ,人
2000000202,2000年,平成12年,26462,与謝郡岩滝町,全体,農業就業人口,63 ,人
2000000202,2000年,平成12年,26463,与謝郡伊根町,全体,農家人口,874 ,人
2000000202,2000年,平成12年,26463,与謝郡伊根町,男,農家人口,436 ,人
2000000202,2000年,平成12年,26463,与謝郡伊根町,女,農家人口,438 ,人
2000000202,2000年,平成12年,26463,与謝郡伊根町,全体,16歳以上総数,738 ,人
2000000202,2000年,平成12年,26463,与謝郡伊根町,全体,自営農業だけに従事,258 ,人
2000000202,2000年,平成12年,26463,与謝郡伊根町,全体,自営農業を主にその他の仕事に従事,48 ,人
2000000202,2000年,平成12年,26463,与謝郡伊根町,全体,その他の仕事を主に自営農業に従事,310 ,人
2000000202,2000年,平成12年,26463,与謝郡伊根町,全体,その他の仕事だけに従事,24 ,人
2000000202,2000年,平成12年,26463,与謝郡伊根町,全体,仕事に従事しなかった,98 ,人
2000000202,2000年,平成12年,26463,与謝郡伊根町,全体,農業就業人口,306 ,人
2000000202,2000年,平成12年,26464,与謝郡野田川町,全体,農家人口,824 ,人
2000000202,2000年,平成12年,26464,与謝郡野田川町,男,農家人口,401 ,人
2000000202,2000年,平成12年,26464,与謝郡野田川町,女,農家人口,423 ,人
2000000202,2000年,平成12年,26464,与謝郡野田川町,全体,16歳以上総数,689 ,人
2000000202,2000年,平成12年,26464,与謝郡野田川町,全体,自営農業だけに従事,206 ,人
2000000202,2000年,平成12年,26464,与謝郡野田川町,全体,自営農業を主にその他の仕事に従事,31 ,人
2000000202,2000年,平成12年,26464,与謝郡野田川町,全体,その他の仕事を主に自営農業に従事,250 ,人
2000000202,2000年,平成12年,26464,与謝郡野田川町,全体,その他の仕事だけに従事,108 ,人
2000000202,2000年,平成12年,26464,与謝郡野田川町,全体,仕事に従事しなかった,94 ,人
2000000202,2000年,平成12年,26464,与謝郡野田川町,全体,農業就業人口,237 ,人
2000000202,2000年,平成12年,26481,中郡峰山町,全体,農家人口,2773 ,人
2000000202,2000年,平成12年,26481,中郡峰山町,男,農家人口,1373 ,人
2000000202,2000年,平成12年,26481,中郡峰山町,女,農家人口,1400 ,人
2000000202,2000年,平成12年,26481,中郡峰山町,全体,16歳以上総数,2282 ,人
2000000202,2000年,平成12年,26481,中郡峰山町,全体,自営農業だけに従事,784 ,人
2000000202,2000年,平成12年,26481,中郡峰山町,全体,自営農業を主にその他の仕事に従事,57 ,人
2000000202,2000年,平成12年,26481,中郡峰山町,全体,その他の仕事を主に自営農業に従事,951 ,人
2000000202,2000年,平成12年,26481,中郡峰山町,全体,その他の仕事だけに従事,202 ,人
2000000202,2000年,平成12年,26481,中郡峰山町,全体,仕事に従事しなかった,288 ,人
2000000202,2000年,平成12年,26481,中郡峰山町,全体,農業就業人口,841 ,人
2000000202,2000年,平成12年,26482,中郡大宮町,全体,農家人口,2138 ,人
2000000202,2000年,平成12年,26482,中郡大宮町,男,農家人口,1042 ,人
2000000202,2000年,平成12年,26482,中郡大宮町,女,農家人口,1096 ,人
2000000202,2000年,平成12年,26482,中郡大宮町,全体,16歳以上総数,1787 ,人
2000000202,2000年,平成12年,26482,中郡大宮町,全体,自営農業だけに従事,628 ,人
2000000202,2000年,平成12年,26482,中郡大宮町,全体,自営農業を主にその他の仕事に従事,65 ,人
2000000202,2000年,平成12年,26482,中郡大宮町,全体,その他の仕事を主に自営農業に従事,718 ,人
2000000202,2000年,平成12年,26482,中郡大宮町,全体,その他の仕事だけに従事,181 ,人
2000000202,2000年,平成12年,26482,中郡大宮町,全体,仕事に従事しなかった,195 ,人
2000000202,2000年,平成12年,26482,中郡大宮町,全体,農業就業人口,693 ,人
2000000202,2000年,平成12年,26501,竹野郡網野町,全体,農家人口,1524 ,人
2000000202,2000年,平成12年,26501,竹野郡網野町,男,農家人口,749 ,人
2000000202,2000年,平成12年,26501,竹野郡網野町,女,農家人口,775 ,人
2000000202,2000年,平成12年,26501,竹野郡網野町,全体,16歳以上総数,1252 ,人
2000000202,2000年,平成12年,26501,竹野郡網野町,全体,自営農業だけに従事,494 ,人
2000000202,2000年,平成12年,26501,竹野郡網野町,全体,自営農業を主にその他の仕事に従事,46 ,人
2000000202,2000年,平成12年,26501,竹野郡網野町,全体,その他の仕事を主に自営農業に従事,447 ,人
2000000202,2000年,平成12年,26501,竹野郡網野町,全体,その他の仕事だけに従事,104 ,人
2000000202,2000年,平成12年,26501,竹野郡網野町,全体,仕事に従事しなかった,161 ,人
2000000202,2000年,平成12年,26501,竹野郡網野町,全体,農業就業人口,540 ,人
2000000202,2000年,平成12年,26502,竹野郡丹後町,全体,農家人口,1370 ,人
2000000202,2000年,平成12年,26502,竹野郡丹後町,男,農家人口,685 ,人
2000000202,2000年,平成12年,26502,竹野郡丹後町,女,農家人口,685 ,人
2000000202,2000年,平成12年,26502,竹野郡丹後町,全体,16歳以上総数,1156 ,人
2000000202,2000年,平成12年,26502,竹野郡丹後町,全体,自営農業だけに従事,423 ,人
2000000202,2000年,平成12年,26502,竹野郡丹後町,全体,自営農業を主にその他の仕事に従事,71 ,人
2000000202,2000年,平成12年,26502,竹野郡丹後町,全体,その他の仕事を主に自営農業に従事,468 ,人
