時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,性別,項目,数値,単位
1990000202,1990年,平成2年,26105,京都市東山区,全体,その他の仕事を主に自営農業に従事,4 ,人
1990000202,1990年,平成2年,26105,京都市東山区,全体,その他の仕事だけに従事,3 ,人
1990000202,1990年,平成2年,26105,京都市東山区,全体,仕事に従事しなかった,1 ,人
1990000202,1990年,平成2年,26105,京都市東山区,全体,農業就業人口,***,人
1990000202,1990年,平成2年,26106,京都市下京区,全体,農家人口,1835 ,人
1990000202,1990年,平成2年,26106,京都市下京区,男,農家人口,895 ,人
1990000202,1990年,平成2年,26106,京都市下京区,女,農家人口,940 ,人
1990000202,1990年,平成2年,26106,京都市下京区,全体,16歳以上総数,1532 ,人
1990000202,1990年,平成2年,26106,京都市下京区,全体,自営農業だけに従事,667 ,人
1990000202,1990年,平成2年,26106,京都市下京区,全体,自営農業を主にその他の仕事に従事,47 ,人
1990000202,1990年,平成2年,26106,京都市下京区,全体,その他の仕事を主に自営農業に従事,351 ,人
1990000202,1990年,平成2年,26106,京都市下京区,全体,その他の仕事だけに従事,145 ,人
1990000202,1990年,平成2年,26106,京都市下京区,全体,仕事に従事しなかった,322 ,人
1990000202,1990年,平成2年,26106,京都市下京区,全体,農業就業人口,714 ,人
1990000202,1990年,平成2年,26107,京都市南区,全体,農家人口,107 ,人
1990000202,1990年,平成2年,26107,京都市南区,男,農家人口,47 ,人
1990000202,1990年,平成2年,26107,京都市南区,女,農家人口,60 ,人
1990000202,1990年,平成2年,26107,京都市南区,全体,16歳以上総数,98 ,人
1990000202,1990年,平成2年,26107,京都市南区,全体,自営農業だけに従事,26 ,人
1990000202,1990年,平成2年,26107,京都市南区,全体,自営農業を主にその他の仕事に従事,6 ,人
1990000202,1990年,平成2年,26107,京都市南区,全体,その他の仕事を主に自営農業に従事,19 ,人
1990000202,1990年,平成2年,26107,京都市南区,全体,その他の仕事だけに従事,9 ,人
1990000202,1990年,平成2年,26107,京都市南区,全体,仕事に従事しなかった,38 ,人
1990000202,1990年,平成2年,26107,京都市南区,全体,農業就業人口,32 ,人
1990000202,1990年,平成2年,26108,京都市右京区,全体,農家人口,2570 ,人
1990000202,1990年,平成2年,26108,京都市右京区,男,農家人口,1260 ,人
1990000202,1990年,平成2年,26108,京都市右京区,女,農家人口,1310 ,人
1990000202,1990年,平成2年,26108,京都市右京区,全体,16歳以上総数,2143 ,人
1990000202,1990年,平成2年,26108,京都市右京区,全体,自営農業だけに従事,979 ,人
1990000202,1990年,平成2年,26108,京都市右京区,全体,自営農業を主にその他の仕事に従事,53 ,人
1990000202,1990年,平成2年,26108,京都市右京区,全体,その他の仕事を主に自営農業に従事,386 ,人
1990000202,1990年,平成2年,26108,京都市右京区,全体,その他の仕事だけに従事,229 ,人
1990000202,1990年,平成2年,26108,京都市右京区,全体,仕事に従事しなかった,496 ,人
1990000202,1990年,平成2年,26108,京都市右京区,全体,農業就業人口,1032 ,人
1990000202,1990年,平成2年,26109,京都市伏見区,全体,農家人口,2838 ,人
1990000202,1990年,平成2年,26109,京都市伏見区,男,農家人口,1392 ,人
1990000202,1990年,平成2年,26109,京都市伏見区,女,農家人口,1446 ,人
1990000202,1990年,平成2年,26109,京都市伏見区,全体,16歳以上総数,2359 ,人
1990000202,1990年,平成2年,26109,京都市伏見区,全体,自営農業だけに従事,922 ,人
1990000202,1990年,平成2年,26109,京都市伏見区,全体,自営農業を主にその他の仕事に従事,155 ,人
1990000202,1990年,平成2年,26109,京都市伏見区,全体,その他の仕事を主に自営農業に従事,549 ,人
1990000202,1990年,平成2年,26109,京都市伏見区,全体,その他の仕事だけに従事,197 ,人
1990000202,1990年,平成2年,26109,京都市伏見区,全体,仕事に従事しなかった,536 ,人
1990000202,1990年,平成2年,26109,京都市伏見区,全体,農業就業人口,1077 ,人
1990000202,1990年,平成2年,26110,京都市山科区,全体,農家人口,4796 ,人
1990000202,1990年,平成2年,26110,京都市山科区,男,農家人口,2299 ,人
1990000202,1990年,平成2年,26110,京都市山科区,女,農家人口,2497 ,人
1990000202,1990年,平成2年,26110,京都市山科区,全体,16歳以上総数,3962 ,人
1990000202,1990年,平成2年,26110,京都市山科区,全体,自営農業だけに従事,1623 ,人
1990000202,1990年,平成2年,26110,京都市山科区,全体,自営農業を主にその他の仕事に従事,82 ,人
1990000202,1990年,平成2年,26110,京都市山科区,全体,その他の仕事を主に自営農業に従事,970 ,人
1990000202,1990年,平成2年,26110,京都市山科区,全体,その他の仕事だけに従事,312 ,人
1990000202,1990年,平成2年,26110,京都市山科区,全体,仕事に従事しなかった,975 ,人
1990000202,1990年,平成2年,26110,京都市山科区,全体,農業就業人口,1705 ,人
1990000202,1990年,平成2年,26111,京都市西京区,全体,農家人口,6947 ,人
1990000202,1990年,平成2年,26111,京都市西京区,男,農家人口,3338 ,人
1990000202,1990年,平成2年,26111,京都市西京区,女,農家人口,3609 ,人
1990000202,1990年,平成2年,26111,京都市西京区,全体,16歳以上総数,5764 ,人
1990000202,1990年,平成2年,26111,京都市西京区,全体,自営農業だけに従事,2130 ,人
1990000202,1990年,平成2年,26111,京都市西京区,全体,自営農業を主にその他の仕事に従事,169 ,人
1990000202,1990年,平成2年,26111,京都市西京区,全体,その他の仕事を主に自営農業に従事,1250 ,人
1990000202,1990年,平成2年,26111,京都市西京区,全体,その他の仕事だけに従事,647 ,人
1990000202,1990年,平成2年,26111,京都市西京区,全体,仕事に従事しなかった,1568 ,人
1990000202,1990年,平成2年,26111,京都市西京区,全体,農業就業人口,2299 ,人
1990000202,1990年,平成2年,26201,福知山市,全体,農家人口,16106 ,人
1990000202,1990年,平成2年,26201,福知山市,男,農家人口,7687 ,人
1990000202,1990年,平成2年,26201,福知山市,女,農家人口,8419 ,人
1990000202,1990年,平成2年,26201,福知山市,全体,16歳以上総数,13499 ,人
1990000202,1990年,平成2年,26201,福知山市,全体,自営農業だけに従事,4676 ,人
1990000202,1990年,平成2年,26201,福知山市,全体,自営農業を主にその他の仕事に従事,349 ,人
1990000202,1990年,平成2年,26201,福知山市,全体,その他の仕事を主に自営農業に従事,5365 ,人
1990000202,1990年,平成2年,26201,福知山市,全体,その他の仕事だけに従事,1207 ,人
1990000202,1990年,平成2年,26201,福知山市,全体,仕事に従事しなかった,1902 ,人
1990000202,1990年,平成2年,26201,福知山市,全体,農業就業人口,5025 ,人
1990000202,1990年,平成2年,26202,舞鶴市,全体,農家人口,14665 ,人
1990000202,1990年,平成2年,26202,舞鶴市,男,農家人口,6980 ,人
1990000202,1990年,平成2年,26202,舞鶴市,女,農家人口,7685 ,人
1990000202,1990年,平成2年,26202,舞鶴市,全体,16歳以上総数,11980 ,人
1990000202,1990年,平成2年,26202,舞鶴市,全体,自営農業だけに従事,4957 ,人
1990000202,1990年,平成2年,26202,舞鶴市,全体,自営農業を主にその他の仕事に従事,313 ,人
1990000202,1990年,平成2年,26202,舞鶴市,全体,その他の仕事を主に自営農業に従事,4585 ,人
1990000202,1990年,平成2年,26202,舞鶴市,全体,その他の仕事だけに従事,727 ,人
1990000202,1990年,平成2年,26202,舞鶴市,全体,仕事に従事しなかった,1398 ,人
1990000202,1990年,平成2年,26202,舞鶴市,全体,農業就業人口,5270 ,人
1990000202,1990年,平成2年,26203,綾部市,全体,農家人口,16164 ,人
1990000202,1990年,平成2年,26203,綾部市,男,農家人口,7740 ,人
1990000202,1990年,平成2年,26203,綾部市,女,農家人口,8424 ,人
1990000202,1990年,平成2年,26203,綾部市,全体,16歳以上総数,13638 ,人
1990000202,1990年,平成2年,26203,綾部市,全体,自営農業だけに従事,5252 ,人
1990000202,1990年,平成2年,26203,綾部市,全体,自営農業を主にその他の仕事に従事,322 ,人
1990000202,1990年,平成2年,26203,綾部市,全体,その他の仕事を主に自営農業に従事,5266 ,人
